"","Cust_id","Annual_Income_Lacs","Twitter User","Number of Vehicles","Gender","Married","Daily hours of work","Affluent_Lifestyle","No of Dependents","Urban_residence","Social","Outstation_Travel_last_year"
"7572",1216,15.5,0,2,0,1,7,0,3,0,1,6
"7573",6844,15.9,0,5,0,1,6,1,4,0,1,3
"7574",1081,16,0,5,0,1,5,0,8,0,1,4
"7575",2156,16,0,5,0,1,5,0,1,0,1,7
"7576",4405,16,0,2,0,1,5,0,6,0,1,2
"7577",4006,16.1,0,3,0,1,8,0,1,0,1,4
"7578",8476,16.5,0,1,0,1,5,1,7,0,1,1
"7579",5730,16.5,0,5,0,1,7,1,3,0,1,6
"7580",2115,16.9,0,5,0,1,5,0,2,0,1,0
"7581",9182,17.6,0,5,0,1,6,1,1,0,1,9
"7582",9870,17.9,0,2,0,1,6,1,5,0,1,6
"7583",9701,17.9,0,4,0,1,5,1,5,0,1,4
"7584",4694,18,0,3,0,1,8,0,4,0,1,8
"7585",3322,18,0,2,0,1,5,0,4,0,1,8
"7586",2888,18.1,0,3,0,1,8,0,6,0,1,5
"7587",6702,18.2,0,2,0,1,8,1,2,0,1,4
"7588",812,18.6,0,3,0,1,7,0,3,0,1,7
"7589",4979,18.9,0,2,0,1,5,0,5,0,1,2
"7590",3141,19,0,5,0,1,7,0,4,0,1,0
"7591",3457,19.3,0,3,0,1,7,0,1,0,1,4
"7592",4134,19.3,0,1,0,1,6,0,8,0,1,10
"7593",8376,19.4,0,4,0,1,5,1,7,0,1,5
"7594",6482,19.5,0,5,0,1,7,1,8,0,1,4
"7595",651,19.6,0,1,0,1,7,0,3,0,1,0
"7596",9322,19.7,0,2,0,1,8,1,6,0,1,10
"7597",2073,19.9,0,5,0,1,7,0,4,0,1,1
"7598",10234,20.4,0,1,0,1,5,1,3,0,1,3
"7599",9634,20.4,0,4,0,1,7,1,1,0,1,2
"7600",5892,20.9,0,1,0,1,5,1,3,0,1,6
"7601",6896,20.9,0,4,0,1,5,1,5,0,1,6
"7602",6570,21.5,0,3,0,1,6,1,4,0,1,10
"7603",10825,22,0,3,0,1,5,1,4,0,1,4
"7604",8284,22.3,0,3,0,1,6,1,3,0,1,7
"7605",1140,22.4,0,3,0,1,6,0,3,0,1,6
"7606",8283,22.9,0,2,0,1,5,1,7,0,1,3
"7607",2964,23.4,0,5,0,1,6,0,7,0,1,3
"7608",8380,23.7,0,5,0,1,5,1,1,0,1,10
"7609",8403,23.9,0,4,0,1,8,1,3,0,1,1
"7610",3494,24.1,0,5,0,1,7,0,4,0,1,2
"7611",7283,24.3,0,2,0,1,7,1,3,0,1,1
"7612",5759,24.6,0,2,0,1,8,1,2,0,1,2
"7613",1342,24.6,0,2,0,1,8,0,1,0,1,1
"7614",8579,24.9,0,2,0,1,5,1,7,0,1,4
"7615",280,24.9,0,5,0,1,7,0,4,0,1,8
"7616",5044,25.3,0,5,0,1,7,0,2,0,1,0
"7617",5510,25.8,0,5,0,1,8,1,5,0,1,2
"7618",1032,26.5,0,4,0,1,5,0,8,0,1,5
"7619",117,26.8,0,5,0,1,5,0,1,0,1,2
"7620",9676,27.2,0,2,0,1,7,1,5,0,1,9
"7621",9286,27.3,0,1,0,1,7,1,3,0,1,6
"7622",8159,27.4,0,2,0,1,5,1,3,0,1,3
"7623",7004,27.5,0,3,0,1,5,1,6,0,1,6
"7624",5628,27.6,0,1,0,1,6,1,4,0,1,5
"7625",3384,27.8,0,3,0,1,7,0,8,0,1,1
"7626",2431,27.9,0,3,0,1,8,0,7,0,1,4
"7627",1958,28.2,0,3,0,1,5,0,3,0,1,0
"7628",7545,28.2,0,2,0,1,8,1,2,0,1,2
"7629",5293,28.3,0,1,0,1,6,0,1,0,1,2
"7630",1534,28.3,0,3,0,1,7,0,1,0,1,5
"7631",8175,28.7,0,1,0,1,6,1,5,0,1,1
"7632",1057,29,0,1,0,1,7,0,2,0,1,3
"7678",2950,13.5,0,2,0,1,7,0,4,0,1,8
"7679",6076,13.8,0,4,0,1,5,1,8,0,1,6
"7680",1260,13.9,0,3,0,1,8,0,6,0,1,1
"7681",5238,13.9,0,2,0,1,8,0,4,0,1,2
"7682",2892,14.2,0,2,0,1,6,0,7,0,1,10
"7683",1806,14.5,0,4,0,1,6,0,5,0,1,0
